sample	EPHA2
TCGA-85-6560-01	10.62
TCGA-85-8352-01	9.357
TCGA-22-5482-11	10.72
TCGA-22-5473-01	10.11
TCGA-43-2578-01	9.553
TCGA-22-5472-11	10.05
TCGA-58-A46L-01	10.19
TCGA-56-8623-01	11.52
TCGA-90-7767-11	11.43
TCGA-96-A4JK-01	9.499
TCGA-56-7582-11	9.981
TCGA-92-7340-11	9.81
TCGA-56-7823-01	8.89
TCGA-NK-A5CR-01	10.11
TCGA-56-7223-01	10.46
TCGA-43-7657-11	10.47
TCGA-90-6837-11	10.98
TCGA-77-7338-11	10.68
TCGA-56-8082-11	12.94
TCGA-34-8454-11	10.24
TCGA-77-7141-01	9.539
TCGA-77-7335-11	8.616
TCGA-43-5670-11	10.59
TCGA-56-8623-11	11.42
TCGA-43-6647-11	11.02
TCGA-77-6842-01	9.914
TCGA-63-A5MB-01	9.212
TCGA-77-7337-11	9.364
TCGA-56-6546-01	9.436
TCGA-51-4080-11	10.01
TCGA-51-4079-11	11.9
TCGA-43-3394-11	11.4
TCGA-56-8083-11	9.583
TCGA-63-A5MW-01	9.998
TCGA-33-6737-11	10.03
TCGA-56-7823-11	11.15
TCGA-51-4081-01	10.7
TCGA-85-6175-01	9.904
TCGA-43-A474-01	10.92
TCGA-56-8309-01	9.903
TCGA-56-8307-01	9.408
TCGA-85-8277-01	10.33
TCGA-77-8128-01	9.76
TCGA-51-4080-01	9.173
TCGA-56-8309-11	9.852
TCGA-56-7580-11	9.231
TCGA-NC-A5HL-01	9.415
TCGA-22-5471-11	11.12
TCGA-58-8386-11	10.87
TCGA-77-7142-11	9.664
TCGA-63-A5M9-01	8.679
TCGA-56-8625-01	10.18
TCGA-96-7545-01	10.24
TCGA-43-7657-01	9.586
TCGA-66-2758-01	8.721
TCGA-58-8390-01	11.47
TCGA-22-4599-01	8.165
TCGA-60-2709-11	11.84
TCGA-21-1077-01	11.2
TCGA-34-5239-01	9.934
TCGA-56-7579-11	10.94
TCGA-39-5031-01	11.1
TCGA-34-7107-11	11.04
TCGA-56-7730-01	10.6
TCGA-34-2596-01	9.166
TCGA-66-2792-01	10.15
TCGA-85-A4CN-01	9.63
TCGA-63-A5ML-01	9.226
TCGA-94-A5I6-01	10.39
TCGA-43-3920-01	10.85
TCGA-34-8456-01	9.989
TCGA-56-8201-11	11.7
TCGA-85-7950-01	10.62
TCGA-56-7731-11	11.82
TCGA-60-2704-01	9.889
TCGA-66-2742-01	10.45
TCGA-51-4081-11	11.5
TCGA-34-5929-01	11.3
TCGA-22-5478-11	10.96
TCGA-22-4609-01	11.02
TCGA-22-5477-01	8.11
TCGA-58-A46K-01	9.735
TCGA-85-6798-01	10.56
TCGA-22-4609-11	12.35
TCGA-39-5019-01	10.85
TCGA-34-5231-01	9.946
TCGA-94-8491-01	10.29
TCGA-34-2600-01	11.12
TCGA-43-6771-11	12.09
TCGA-63-A5MJ-01	11.05
TCGA-77-7463-01	10.32
TCGA-92-7341-01	10.91
TCGA-XC-AA0X-01	12.05
TCGA-60-2721-01	11.67
TCGA-77-A5G6-01	10.94
TCGA-56-8308-01	11.04
TCGA-66-2787-01	8.389
TCGA-O2-A52V-01	10.88
TCGA-85-7698-01	10.03
