sample	ROBO1
TCGA-90-7767-01	14.63
TCGA-63-5131-01	13.63
TCGA-98-8023-01	13.52
TCGA-85-7950-01	13.21
TCGA-68-8251-01	13.19
TCGA-56-8307-01	13.06
TCGA-96-A4JL-01	13.06
TCGA-43-8116-01	13
TCGA-60-2712-01	12.95
TCGA-63-A5MH-01	12.9
TCGA-77-6842-01	12.84
TCGA-85-8048-01	12.8
TCGA-22-5489-01	12.73
TCGA-39-5024-01	12.69
TCGA-43-6143-01	12.56
TCGA-34-5929-01	12.52
TCGA-34-5239-01	12.49
TCGA-85-A511-01	12.38
TCGA-56-8309-01	12.34
TCGA-39-5030-01	12.33
TCGA-66-2755-01	12.33
TCGA-21-5783-01	12.31
TCGA-58-8390-01	12.29
TCGA-85-8288-01	12.28
TCGA-34-5231-01	12.25
TCGA-60-2721-01	12.22
TCGA-18-3410-01	12.18
TCGA-22-4593-01	12.1
TCGA-21-5784-01	12.06
TCGA-58-8388-01	12.02
TCGA-85-8352-01	12.02
TCGA-56-7580-01	12
TCGA-85-7699-01	11.98
TCGA-22-5481-01	11.9
TCGA-58-A46L-01	11.9
TCGA-63-A5MW-01	11.9
TCGA-77-7463-01	11.87
TCGA-85-8664-01	11.87
TCGA-77-7465-01	11.87
TCGA-85-8582-01	11.87
TCGA-34-2600-01	11.86
TCGA-18-3409-01	11.85
TCGA-21-1083-01	11.83
TCGA-56-6545-01	11.82
TCGA-77-A5G7-01	11.81
TCGA-77-8143-01	11.79
TCGA-63-A5MV-01	11.77
TCGA-NK-A7XE-01	11.77
TCGA-77-6844-01	11.74
TCGA-33-4547-01	11.72
TCGA-63-7023-01	11.71
TCGA-37-3792-01	11.7
TCGA-66-2754-01	11.7
TCGA-34-5927-01	11.69
TCGA-77-A5GH-01	11.63
TCGA-77-8140-01	11.62
TCGA-56-8082-01	11.62
TCGA-43-6647-01	11.6
TCGA-33-4582-01	11.59
TCGA-60-2725-01	11.59
TCGA-85-A4QR-01	11.57
TCGA-NC-A5HQ-01	11.54
TCGA-21-1080-01	11.54
TCGA-77-A5G6-01	11.53
TCGA-66-2763-01	11.53
TCGA-98-7454-01	11.52
TCGA-21-5786-01	11.51
TCGA-63-7022-01	11.51
TCGA-18-3417-01	11.5
TCGA-90-6837-01	11.5
TCGA-85-8287-01	11.49
TCGA-NC-A5HI-01	11.49
TCGA-34-5928-01	11.48
TCGA-77-7337-01	11.46
TCGA-56-8503-01	11.45
TCGA-58-A46J-01	11.44
TCGA-34-A5IX-01	11.43
TCGA-68-A59I-01	11.41
TCGA-85-6175-01	11.39
TCGA-43-6771-01	11.39
TCGA-85-7710-01	11.39
TCGA-96-8169-01	11.39
TCGA-34-8454-01	11.38
TCGA-66-2781-01	11.38
TCGA-60-2703-01	11.37
TCGA-56-6546-01	11.35
TCGA-77-8008-01	11.35
TCGA-90-A4ED-01	11.34
TCGA-56-8629-01	11.33
TCGA-63-A5MI-01	11.32
TCGA-85-A50M-01	11.29
TCGA-21-A5DI-01	11.29
TCGA-43-A475-01	11.29
TCGA-68-8250-01	11.27
TCGA-77-8138-01	11.21
TCGA-85-A50Z-01	11.21
TCGA-85-A4JC-01	11.2
TCGA-22-5492-01	11.19
TCGA-22-1011-01	11.18
TCGA-43-3920-01	11.16
TCGA-46-3767-01	11.16
TCGA-46-6026-01	11.16
TCGA-66-2753-01	11.16
TCGA-96-8170-01	11.12
TCGA-77-8145-01	11.11
TCGA-NC-A5HT-01	11.11
TCGA-60-2716-01	11.1
TCGA-85-6560-01	11.1
TCGA-56-7223-01	11.07
TCGA-85-8350-01	11.04
TCGA-98-A53B-01	11
TCGA-56-8083-01	11
TCGA-66-2782-01	10.98
TCGA-NC-A5HD-01	10.97
TCGA-56-A4BW-01	10.97
TCGA-85-A4JB-01	10.94
TCGA-85-8071-01	10.92
TCGA-21-1071-01	10.89
TCGA-34-8455-01	10.89
TCGA-43-A474-01	10.89
TCGA-22-1002-01	10.87
TCGA-O2-A52W-01	10.86
TCGA-43-A56U-01	10.85
TCGA-60-2704-01	10.84
TCGA-39-5031-01	10.83
TCGA-98-8022-01	10.82
TCGA-22-4609-01	10.82
TCGA-34-2596-01	10.82
TCGA-98-A538-01	10.82
TCGA-56-1622-01	10.8
TCGA-56-A5DS-01	10.78
TCGA-60-2723-01	10.78
TCGA-34-7107-11	10.73
TCGA-66-2785-01	10.72
TCGA-66-2789-01	10.71
TCGA-98-A53A-01	10.69
TCGA-56-8304-01	10.68
TCGA-63-A5MT-01	10.68
TCGA-85-A53L-01	10.68
TCGA-77-A5GB-01	10.67
TCGA-33-4532-01	10.66
TCGA-56-7731-01	10.66
TCGA-66-2790-01	10.66
TCGA-21-1077-01	10.65
TCGA-63-A5MY-01	10.64
TCGA-85-6561-01	10.64
TCGA-94-8035-01	10.64
TCGA-37-5819-01	10.62
TCGA-39-5035-01	10.62
TCGA-77-7142-01	10.62
TCGA-56-8625-01	10.6
TCGA-63-7021-01	10.59
TCGA-66-2788-01	10.59
TCGA-21-1078-01	10.58
TCGA-85-8481-01	10.58
TCGA-85-8479-01	10.58
TCGA-66-2769-01	10.56
TCGA-18-4721-01	10.56
TCGA-60-2695-01	10.56
TCGA-60-2708-01	10.55
TCGA-L3-A4E7-01	10.55
TCGA-85-7844-01	10.53
TCGA-60-2713-01	10.52
TCGA-21-1072-01	10.51
TCGA-43-5670-01	10.51
TCGA-43-8115-01	10.51
TCGA-22-4599-01	10.49
TCGA-21-5782-01	10.49
TCGA-77-8139-01	10.49
TCGA-51-6867-01	10.48
TCGA-18-4083-01	10.48
TCGA-22-5472-11	10.47
TCGA-63-A5MG-01	10.46
TCGA-98-8021-01	10.45
TCGA-39-5019-01	10.43
TCGA-98-A53C-01	10.42
TCGA-22-4591-01	10.41
TCGA-22-4596-01	10.41
TCGA-77-A5FZ-01	10.4
TCGA-66-2791-01	10.4
TCGA-22-5482-11	10.39
TCGA-56-8626-01	10.39
TCGA-52-7809-01	10.38
TCGA-94-A4VJ-01	10.38
TCGA-37-3783-01	10.36
TCGA-66-2744-01	10.36
TCGA-77-8156-01	10.36
TCGA-60-2709-01	10.35
TCGA-63-7020-01	10.35
