sample	SLIT2
TCGA-22-5482-11	12.14
TCGA-33-6737-11	12.1
TCGA-92-7340-11	12
TCGA-34-8454-11	11.96
TCGA-90-6837-11	11.88
TCGA-77-6843-01	11.72
TCGA-77-7337-11	11.61
TCGA-43-6647-11	11.6
TCGA-56-8083-11	11.52
TCGA-77-7142-11	11.45
TCGA-22-5472-11	11.43
TCGA-39-5040-01	11.41
TCGA-56-8082-11	11.36
TCGA-77-7138-11	11.03
TCGA-56-7580-11	11.03
TCGA-43-7657-11	11.01
TCGA-90-7767-11	11
TCGA-43-5670-11	10.99
TCGA-77-7338-11	10.98
TCGA-43-3394-11	10.93
TCGA-22-5478-11	10.91
TCGA-51-4080-11	10.87
TCGA-22-4609-11	10.85
TCGA-77-7335-11	10.78
TCGA-56-7582-11	10.76
TCGA-34-7107-11	10.72
TCGA-22-5483-11	10.71
TCGA-43-6771-11	10.64
TCGA-56-8309-11	10.61
TCGA-22-5489-11	10.54
TCGA-51-4081-11	10.54
TCGA-56-8623-11	10.52
TCGA-56-8623-01	10.52
TCGA-56-8201-11	10.51
TCGA-60-2704-01	10.51
TCGA-56-7579-11	10.49
TCGA-43-6773-11	10.43
TCGA-43-6143-11	10.4
TCGA-66-2787-01	10.37
TCGA-22-5471-11	10.35
TCGA-77-8008-11	10.3
TCGA-43-6647-01	10.27
TCGA-43-7658-11	10.24
TCGA-51-4079-11	10.22
TCGA-77-6842-01	10.21
TCGA-85-8353-01	10.21
TCGA-22-5491-11	10.19
TCGA-34-2596-01	10.19
TCGA-34-5928-01	10.17
TCGA-22-5481-01	10.16
TCGA-85-8664-01	10.16
TCGA-22-4593-11	10.15
TCGA-51-4081-01	10.11
TCGA-22-5481-11	10.09
TCGA-98-A53C-01	10.01
TCGA-56-7823-01	9.999
TCGA-56-7731-11	9.996
TCGA-85-6175-01	9.968
TCGA-92-7341-01	9.914
TCGA-60-2709-11	9.91
TCGA-63-A5ML-01	9.876
TCGA-98-A53D-01	9.821
TCGA-21-1075-01	9.821
TCGA-34-5239-01	9.8
TCGA-22-5477-01	9.771
TCGA-33-4587-11	9.766
TCGA-56-A4BY-01	9.752
TCGA-J1-A4AH-01	9.743
TCGA-56-7823-11	9.729
TCGA-70-6722-01	9.729
TCGA-52-7622-01	9.719
TCGA-85-8352-01	9.644
TCGA-60-2715-01	9.586
TCGA-98-7454-01	9.54
TCGA-18-4721-01	9.538
TCGA-22-4609-01	9.536
TCGA-56-6546-01	9.53
TCGA-90-A4ED-01	9.497
TCGA-60-2695-01	9.488
TCGA-LA-A446-01	9.483
TCGA-85-8049-01	9.478
TCGA-56-6545-01	9.469
TCGA-21-1071-01	9.468
TCGA-96-A4JL-01	9.455
TCGA-60-2710-01	9.448
TCGA-34-8456-01	9.438
TCGA-96-7545-01	9.424
TCGA-33-AAS8-01	9.392
TCGA-85-7844-01	9.384
TCGA-18-5595-01	9.376
TCGA-33-4538-01	9.375
TCGA-58-8386-11	9.37
TCGA-77-8007-11	9.359
TCGA-56-8625-01	9.354
TCGA-85-7699-01	9.328
TCGA-85-6798-01	9.321
TCGA-56-7730-01	9.32
TCGA-18-3408-01	9.312
TCGA-63-7022-01	9.289
TCGA-85-7710-11	9.274
TCGA-77-7141-01	9.268
TCGA-63-A5M9-01	9.248
TCGA-46-3767-01	9.245
TCGA-58-8391-01	9.222
TCGA-77-A5FZ-01	9.214
TCGA-85-7698-01	9.214
TCGA-85-8582-01	9.212
TCGA-58-8388-01	9.209
TCGA-22-4605-01	9.208
TCGA-60-2703-01	9.197
TCGA-85-6561-01	9.185
TCGA-60-2709-01	9.166
TCGA-22-4604-01	9.16
TCGA-66-2777-01	9.16
TCGA-22-1016-01	9.149
TCGA-46-3765-01	9.135
TCGA-22-1000-01	9.13
TCGA-22-5485-01	9.13
TCGA-92-7340-01	9.113
TCGA-18-3417-01	9.106
TCGA-22-4593-01	9.094
TCGA-46-3766-01	9.083
TCGA-85-A4CN-01	9.081
TCGA-33-4587-01	9.034
TCGA-22-5472-01	9.033
TCGA-21-1076-01	9.033
TCGA-60-2713-01	9.014
TCGA-43-8115-01	9.011
TCGA-56-8309-01	9.004
TCGA-56-7582-01	8.991
TCGA-85-8052-01	8.987
TCGA-77-8008-01	8.983
TCGA-34-5231-01	8.973
TCGA-98-A53H-01	8.972
TCGA-22-5478-01	8.958
TCGA-56-7222-11	8.953
TCGA-39-5022-01	8.953
TCGA-66-2800-01	8.945
TCGA-85-8355-01	8.937
TCGA-39-5021-01	8.927
TCGA-94-A5I6-01	8.913
TCGA-43-A475-01	8.91
TCGA-NC-A5HP-01	8.899
TCGA-56-A4ZJ-01	8.894
TCGA-60-2697-01	8.893
TCGA-56-8503-01	8.887
TCGA-60-2708-01	8.868
TCGA-22-5483-01	8.864
TCGA-34-5927-01	8.853
TCGA-NC-A5HJ-01	8.845
TCGA-60-2725-01	8.835
TCGA-66-2757-01	8.806
TCGA-34-2608-01	8.799
TCGA-56-7730-11	8.78
TCGA-34-5240-01	8.757
TCGA-46-3768-01	8.755
TCGA-68-7755-01	8.742
TCGA-77-7338-01	8.735
TCGA-56-5897-01	8.734
TCGA-63-5128-01	8.732
TCGA-90-7769-01	8.724
TCGA-77-8156-01	8.709
TCGA-58-A46K-01	8.706
TCGA-77-7337-01	8.694
TCGA-39-5040-11	8.672
TCGA-22-5492-01	8.67
TCGA-60-2723-01	8.661
TCGA-56-8628-01	8.656
TCGA-56-8308-01	8.619
TCGA-56-7222-01	8.61
TCGA-22-1002-01	8.59
TCGA-77-7140-01	8.573
TCGA-34-8454-01	8.568
TCGA-39-5030-01	8.567
TCGA-77-8009-01	8.566
TCGA-43-6770-01	8.566
TCGA-60-2712-01	8.559
TCGA-XC-AA0X-01	8.54
TCGA-43-7658-01	8.536
TCGA-63-A5MS-01	8.536
TCGA-63-A5MP-01	8.533
TCGA-22-4596-01	8.526
TCGA-L3-A524-01	8.514
TCGA-85-A511-01	8.512
TCGA-58-A46N-01	8.509
TCGA-63-A5MJ-01	8.508
TCGA-98-8021-01	8.504
TCGA-66-2790-01	8.496
TCGA-NK-A5CR-01	8.466
TCGA-56-8624-01	8.446
TCGA-22-4601-01	8.438
TCGA-56-7221-01	8.437
TCGA-56-A4BW-01	8.436
TCGA-85-7843-01	8.431
TCGA-52-7809-01	8.422
TCGA-18-4086-01	8.421
TCGA-77-A5GH-01	8.412
TCGA-90-7767-01	8.397
TCGA-85-8287-01	8.369
TCGA-96-7544-01	8.368
TCGA-22-5474-01	8.365
TCGA-37-A5EM-01	8.353
TCGA-66-2758-01	8.351
TCGA-22-0944-01	8.33
TCGA-33-4586-01	8.324
TCGA-60-2724-01	8.315
TCGA-43-8118-01	8.312
TCGA-22-4595-01	8.278
